,medio,fecha,titulo
715,la izquierda diario,2019-09-26 00:00:00,[Video] 5 de octubre: sumate a llenar la 9 de Julio con el Frente de Izquierda Unidad
744,la nación,2019-09-26 17:06:00,"Cristiano Rattazzi, sobre CFK: ""Votan a Alí Babá y los 40 ladrones y no les importa nada"""
758,clarin,2019-09-27 00:00:00,Lucha contra el cambio climático: la pasarela se tiñó de verde
775,clarin,2019-09-27 00:00:00,"Devaluación “brutal” y baja de salarios, la “receta uruguaya” para afrontar la deuda que resaltó Alberto Fernández"
776,clarin,2019-09-27 00:00:00,Cae el riesgo país tras las declaraciones de Alberto Fernández sobre la deuda
778,clarin,2019-09-27 00:00:00,"Ricardo Arriazu y sus dudas sobre el rumbo económico que elija Alberto Fernández: “En su espacio hay ortodoxos, moderados y populistas”"
784,clarin,2019-09-27 00:00:00,Renegociación de la deuda: expertos ven muy difícil que se logre el plan sin quita de Alberto Fernández
785,clarin,2019-09-27 00:00:00,Las claves de la renegociación de la deuda que hizo Uruguay y resaltó Alberto Fernández
827,clarin,2019-09-27 00:00:00,"Alberto Fernández irá a Salta para reemplazar en el acto a Cristina Kirchner, que viajará a Cuba"
829,clarin,2019-09-27 00:00:00,"Los detalles del “Pacto Social” que quiere Alberto Fernández: acuerdo por salarios, impuestos, tarifas y precios de alimentos"
834,clarin,2019-09-27 00:00:00,"Un intendente Pro relanzó su campaña: “No pedimos que corten a Mauricio, corten a Depetri”"
837,clarin,2019-09-27 00:00:00,Miguel Ángel Pichetto se reunió con Jair Bolsonaro: “Venezuela es una dictadura y un riesgo para América del Sur”
838,clarin,2019-09-27 00:00:00,"Miguel Pichetto, tras su reunión con Jair Bolsonaro: “hay mucha gente repensando su voto en la Argentina”"
839,clarin,2019-09-27 00:00:00,¿Qué le pasa a Florencia Kirchner? Las razones del nuevo y sorpresivo viaje de Cristina Kirchner a Cuba
840,clarin,2019-09-27 00:00:00,"Seguridad “invisible”, cordón humano de voluntarios y funcionarios militantes: cómo será la marcha de Mauricio Macri en Belgrano"
851,clarin,2019-09-27 00:00:00,Fridays for Future: lugares y horarios de las marchas por el cambio climático en Argentina
944,cronista,2019-09-27 00:00:00,CFK volvió a pedirle permiso a la justicia para viajar a Cuba
945,cronista,2019-09-27 00:00:00,Encuesta a un mes de octubre: Alberto F. pasa el 50% y un 82% votará igual que en las PASO
951,cronista,2019-09-27 00:00:00,"Tras plantar a Macri, Acevedo recibe a Alberto Fernández en la UIA"
952,cronista,2019-09-27 00:00:00,Tres escenarios posibles para la economía de Alberto Fernández
965,cronista,2019-09-27 00:00:00,Macri es el señor Burns: cientos de memes hacen la increíble comparación
1017,ambito financiero,2019-09-27 00:00:00,Pichetto llevó campaña a Brasil: críticas a Venezuela y foto con Bolsonaro
1029,la izquierda diario,2019-09-27 00:00:00,Bregman y Del Caño en la movilización contra la crisis climática y ecológica
1030,la izquierda diario,2019-09-27 00:00:00,"Christian Castillo: ""Macri y Vidal se van pero la crisis, la deuda y el FMI se quedan"""
1034,la izquierda diario,2019-09-27 00:00:00,Cuatro razones para que la izquierda llegue a la Legislatura de Mendoza
1042,la izquierda diario,2019-09-27 00:00:00,El sueño de Pichetto: el candidato a vice de Macri se reunió con el ultraderechista Bolsonaro
1045,la izquierda diario,2019-09-27 00:00:00,En Neuquén el Frente de Izquierda Unidad relanza su campaña con un gran acto
1048,la izquierda diario,2019-09-27 00:00:00,Jujuy: la izquierda organiza un acto y se prepara “para enfrentar el ajuste que se viene”
1051,la izquierda diario,2019-09-27 00:00:00,"Myriam Bregman: ""Necesitamos una izquierda fuerte en el país y estar en el Congreso"""
1054,la izquierda diario,2019-09-27 00:00:00,"Postales noventistas: Alberto, entre Magnetto, Arcioni y la Fundación Mediterránea"
1059,la izquierda diario,2019-09-27 00:00:00,Urquía y Daer: los pibes de Alberto para la liberación
1068,la nación,2019-09-27 00:53:00,"BTS, Macri, Kim Kardashian y Lilita Carrió: las noticias de la semana"
1080,la nación,2019-09-27 09:44:00,"¿Qué es la salida de la deuda ""a la uruguaya"" que propone Alberto Fernández?"
1084,la nación,2019-09-27 10:24:00,La incierta operación para desactivar a Cristina Kirchner
1089,la nación,2019-09-27 11:20:00,"Alberto Fernández: ""Hablé con los acreedores, las posibilidades de negociación existen"""
1094,la nación,2019-09-27 12:01:00,"Crece el apoyo a Alberto Fernández por sobre Cristina Kirchner, según un sondeo"
1099,la nación,2019-09-27 12:25:00,La salud de Florencia: Cristina Kirchner viajó otra vez de manera sorpresiva a Cuba y deja la campaña electoral
1122,la nación,2019-09-27 14:24:00,Uno por uno: los seis viajes de Cristina Kirchner a Cuba tras la internación de Florencia
1139,la nación,2019-09-27 16:08:00,La marcha contra el cambio climático convocó a miles de jóvenes frente al Congreso
1155,la nación,2019-09-27 17:41:00,"Alfredo Casero tildó de ""K"" a Espert, Lavagna y Gómez Centurión"
1161,la nación,2019-09-27 18:36:00,En fotos: las mejores imágenes de marcha contra el cambio climático en Buenos Aires
1167,la nación,2019-09-27 19:08:00,Las canciones que los militantes de Juntos por el Cambio difunden para las marchas de Macri
1178,la nación,2019-09-27 20:36:00,Susana Giménez convocó a través de sus redes sociales a la marcha en apoyo a Mauricio Macri
1235,clarin,2019-09-28 00:00:00,"Alberto Fernández, una señal y las “seis reglas albertistas”"
1257,clarin,2019-09-28 00:00:00,Flancos críticos para Alberto F. y Macri en el debate
1262,clarin,2019-09-28 00:00:00,Alberto Fernández desayunó con Marcelo Tinelli en su departamento de Puerto Madero
1263,clarin,2019-09-28 00:00:00,Alberto Fernández: “No estoy a favor de nada como una Conadep de periodismo”
1264,clarin,2019-09-28 00:00:00,Alberto Fernández habló del sorpresivo viaje de Cristina Kirchner a Cuba
1265,clarin,2019-09-28 00:00:00,Alberto Fernández rechazó las promesas de Macri: “Lo único que hizo fue sumergir en la pobreza a 5 millones de argentinos”
1266,clarin,2019-09-28 00:00:00,Alfredo Casero fue con un megáfono a la marcha a favor de Mauricio Macri y lo ovacionaron
1269,clarin,2019-09-28 00:00:00,"El canciller Jorge Faurie cuestionó definiciones de Alberto Fernández sobre Venezuela, la UNASUR y la Unión Europea"
1272,clarin,2019-09-28 00:00:00,Famosos y funcionarios en la primera marcha a favor de Macri
1273,clarin,2019-09-28 00:00:00,Macri relanza su candidatura con la primera marcha del “Sí se Puede”
1274,clarin,2019-09-28 00:00:00,Marcha en apoyo a Mauricio Macri: la frase de Elisa Carrió que generó un “no” rotundo entre el público
1277,clarin,2019-09-28 00:00:00,"María Eugenia Vidal no irá a la marcha del “Sí se puede” de Macri, que ya suma gente en Belgrano"
1278,clarin,2019-09-28 00:00:00,Primera marcha del “Sí se puede”: Mauricio Macri esperó casi 20 minutos el tren y viajó sentado junto a Juliana Awada
1279,clarin,2019-09-28 00:00:00,Mauricio Macri esperó casi 20 minutos el tren y viajó sentado junto a Juliana Awada
1280,clarin,2019-09-28 00:00:00,Un Mauricio Macri eufórico relanzó la campaña: dijo que “lo que viene es distinto” y que llega “la mejora del salario”
1281,clarin,2019-09-28 00:00:00,Mauricio Macri relanzó su campaña: dijo que “se puede dar vuelta esta elección” y “viene la mejora del salario”
1282,clarin,2019-09-28 00:00:00,"Miguel Ángel Pichetto en el acto a favor de Macri: “Si gana Fernández gana Cristina, y va a gobernar ella”"
1286,clarin,2019-09-28 00:00:00,"Roberto Lavagna criticó el discurso de Mauricio Macri: “No es cierto, hoy no estamos mejor para empezar a crecer”"
1287,clarin,2019-09-28 00:00:00,Roberto Lavagna y Juan Manuel Urtubey se concentran en tres provincias clave
1289,clarin,2019-09-28 00:00:00,Sergio Massa sobre el acto de Mauricio Macri: “Es una gira de despedida del Presidente”
1290,clarin,2019-09-28 00:00:00,Mensaje de la Sociedad Rural para Alberto Fernández: “Nos preocupa escuchar que el Estado no puede achicarse más”
1291,clarin,2019-09-28 00:00:00,La sugerencia de Cristina Kirchner a Alberto F. y la apuesta final del Gobierno por el milagro
1326,página 12,2019-09-28 00:00:00,Macri en Belgrano por la ilusión del regreso
1329,página 12,2019-09-28 00:00:00,Un problema capital para Juntos por el Cambio
1331,página 12,2019-09-28 00:00:00,"Alberto Fernández en Salta: ""Voy a gobernar una Argentina que administraron ladrones de guantes blanco"""
1335,página 12,2019-09-28 00:00:00,Macri en Belgrano con guión estricto: distribuyó letra y música de lo que debe cantar su hinchada
1337,página 12,2019-09-28 00:00:00,"Alberto Fernández con Beatriz Sarlo: ""Cristina tuvo una gran generosidad y acertó en la estrategia"""
1374,infobae,2019-09-28 00:00:00,La científica que predijo hace 164 años el cambio climático... y no pudo presentar en público su trabajo por ser mujer
1422,infobae,2019-09-28 00:00:00,"FUBA: tras 18 años, la izquierda perdió la conducción y asumirá el reformismo"
1428,infobae,2019-09-28 00:00:00,24 fotos del acto de Macri en Barrancas de Belgrano
1429,infobae,2019-09-28 00:00:00,Alberto Fernández criticó con dureza a Macri en Salta: “Lo que nos dejan es realmente tierra arrasada”
1430,infobae,2019-09-28 00:00:00,Alberto Fernández necesitará el apoyo de Donald Trump para aplicar el Modelo Uruguayo a los acreedores de la Argentina
1431,infobae,2019-09-28 00:00:00,Así fue el viaje en tren de Macri rumbo al acto en Barrancas de Belgrano
1432,infobae,2019-09-28 00:00:00,“El ‘Gato’ quiere unir a la gente”: las cuatro canciones que se escucharon en la marcha a favor de Macri
1433,infobae,2019-09-28 00:00:00,"Entre presiones empresarias y sindicales, Alberto Fernández encara un tema incómodo: la reforma laboral"
1436,infobae,2019-09-28 00:00:00,"Loris Zanatta: “Si el peronismo vuelve al poder, es importante que demuestre más lealtad a las instituciones republicanas de la que tuvo en el pasado”"
1437,infobae,2019-09-28 00:00:00,Mauricio Macri relanzó su campaña con un acto en Barrancas de Belgrano: “Esto lo resolvemos nosotros o no lo resuelve nadie”
1438,infobae,2019-09-28 00:00:00,Qué le piden a Alberto Fernández los principales dirigentes gremiales que apoyan su candidatura
1439,infobae,2019-09-28 00:00:00,"Viaje en tren, cotillón, bombos y trompetas: detalles del masivo acto con “estilo peronista” de Macri en Barrancas de Belgrano"
1479,cronista,2019-09-28 00:00:00,"Alberto Fernández: ""Lo de la Conadep de periodistas es un disparate, no tiene sentido"""
1480,cronista,2019-09-28 00:00:00,"Alberto Fernández, sobre las promesas de Macri: “Lo único que hizo fue sumergir en la pobreza a 5 millones de argentinos”"
1483,cronista,2019-09-28 00:00:00,"Macri lanzó su campaña en Barrancas de Belgrano: ""Nos une decirle no a la impunidad"""
1492,la nación,2019-09-28 00:00:00,La carta de Alberto F. para diferenciarse de Cristina
1517,la nación,2019-09-28 00:00:00,"Fernández Sagasti. ""El presidente será Alberto Fernández, pero Cristina aportará su experiencia"""
1518,la nación,2019-09-28 00:00:00,Macri activa su raid de actos de la mano de Carrió y Larreta
1522,la nación,2019-09-28 00:00:00,"En la Argentina, miles de jóvenes marcharon contra el cambio climático"
1546,perfil,2019-09-28 00:00:00,Tinelli fue a visitar a Alberto Fernández a su departamento de Puerto Madero
1548,ambito financiero,2019-09-28 00:00:00,"Las nuevas promesas de Macri: crecimiento, trabajo y mejora del salario"
1549,ambito financiero,2019-09-28 00:00:00,"Alberto Fernández: ""Que no prometa lo que no puede cumplir, lo único que hizo Macri fue destruir el trabajo"""
1552,ambito financiero,2019-09-28 00:00:00,Macri: Se puede dar vuelta esta elección
1553,ambito financiero,2019-09-28 00:00:00,"Pichetto: Si gana Fernández, gana Cristina y va a gobernar ella"
1560,ambito financiero,2019-09-28 00:00:00,Macri comenzó la pelea para entrar en el balotaje y apuesta al cambio del voto
1566,ambito financiero,2019-09-28 00:00:00,Cristina viajó a Cuba para visitar a su hija Florencia
1581,la izquierda diario,2019-09-28 00:00:00,Bregman sobre el derecho al aborto: “Desde el Frente de Izquierda garantizamos listas 100 % verdes”
1589,la izquierda diario,2019-09-28 00:00:00,"Defensa y Justicia, Macri y Vidal: ¡no en mi nombre!"
1590,la izquierda diario,2019-09-28 00:00:00,Del Caño pasó por San Luis y cosechó la simpatía de los jóvenes
1601,la izquierda diario,2019-09-28 00:00:00,La izquierda independentista catalana decidió presentarse por primera vez a las elecciones generales
1605,la izquierda diario,2019-09-28 00:00:00,"Mauricio Macri relanzó su campaña en la primera marcha del ""Sí se puede"""
1606,la izquierda diario,2019-09-28 00:00:00,"Mauricio Macri relanzó su campaña en la primer marcha del ""Sí se puede"""
1616,la izquierda diario,2019-09-28 00:00:00,Vamos por una lista de izquierda para enfrentar el avance de la Franja Morada y el rectorado
1640,la nación,2019-09-28 11:10:00,"Alberto Fernández reemplazará hoy a Cristina Kirchner en Salta mientras Mauricio Macri encabeza la marcha ""Sí se puede"""
1642,la nación,2019-09-28 11:45:00,"Sergio Massa, sobre la marcha del ""Sí se puede"": ""Macri empieza hoy un raid de despedida"""
1646,la nación,2019-09-28 12:44:00,"Alberto Fernández dijo que ""la Conadep de periodistas es un disparate"" y pidió ""reflexionar"" sobre los medios"
1670,la nación,2019-09-28 18:25:00,"Esta elección se puede dar vuelta, dijo Mauricio Macri en la primera marcha del ""Sí se puede"""
1676,la nación,2019-09-28 18:59:00,El búnker de Alberto Fernández. La caótica antesala del poder peronista
1677,la nación,2019-09-28 19:26:00,"Marcha del ""Sí se puede"": Mabel, la mujer de 88 años que se acercó hasta una estación de tren para saludar a Macri"
1678,la nación,2019-09-28 19:40:00,"Las instrucciones manuscritas del cartel que Macri mostró al final de la marcha del ""Sí se puede"""
1681,la nación,2019-09-28 19:59:00,"Alberto Fernández le respondió a Mauricio Macri: ""Lo único que generó fueron pobres"""
1720,clarin,2019-09-29 00:00:00,Cambiemos deja a los radicales que se la jueguen solos en Mendoza
1721,clarin,2019-09-29 00:00:00,¿Cambio cultural?: ahora los vendedores ambulantes aceptan cobrar con tarjeta
1728,clarin,2019-09-29 00:00:00,Wall Street evalúa la solución “amistosa” de Alberto Fernández con la deuda
1751,clarin,2019-09-29 00:00:00,Alberto Fernández le hará un homenaje al Procurador que echó Cristina Kirchner
1752,clarin,2019-09-29 00:00:00,Alberto Fernández se prepara para el debate en TV y se desmarca de “voceros K”
1754,clarin,2019-09-29 00:00:00,Alfredo Cornejo marcó distancia de Mauricio Macri y apuntó contra Alberto Fernández: “Vuelven peores que antes”
1755,clarin,2019-09-29 00:00:00,"En el arranque de sus giras por el interior, Mauricio Macri va este lunes a Junín con María Eugenia Vidal"
1756,clarin,2019-09-29 00:00:00,Cambiemos se impuso con comodidad en Mendoza y la UCR mantiene la gobernación
1758,clarin,2019-09-29 00:00:00,“Sé que estás enojado o con bronca”: el nuevo spot de Mauricio Macri que relanza su campaña en redes
1759,clarin,2019-09-29 00:00:00,IDEA: Macri y Lavagna confirmaron su presencia pero la duda es Alberto F.
1762,clarin,2019-09-29 00:00:00,Mauricio Macri y otros dirigentes de Cambiemos celebraron la victoria de Rodolfo Suárez en Mendoza
1763,clarin,2019-09-29 00:00:00,Mauricio Macri irá a Mendoza con la marcha del “Sí se puede” el próximo sábado
1767,clarin,2019-09-29 00:00:00,"La quimera del “voto julepe”, Pichetto disruptivo y el minué de puercoespines en Mendoza"
1772,clarin,2019-09-29 00:00:00,La votación de Mendoza sirve para explicar el futuro de Cambiemos
1802,tiempo argentino,2019-09-29 00:00:00,Autogestión vs coaching: cómo se preparan Fernández y Macri para los debates presidenciales
1811,tiempo argentino,2019-09-29 00:00:00,El Pacto Social de Alberto Fernández apuntala la reunificación de la CGT
1812,tiempo argentino,2019-09-29 00:00:00,"El partido del odio marcha con Macri, pero revolotea a Alberto F."
1833,tiempo argentino,2019-09-29 00:00:00,"Justicia y género, los próximos ejes que abordará Alberto F. en la campaña"
1837,tiempo argentino,2019-09-29 00:00:00,"Larreta se muestra con Macri, pero ya piensa en ser candidato en 2023"
1847,tiempo argentino,2019-09-29 00:00:00,Un festejo que no incluyó a Macri
1850,página 12,2019-09-29 00:00:00,"El peronismo en la nuca (postales de eso que va y viene) | ""Las mil y una noches peronistas"": Miguel Rep"
1873,página 12,2019-09-29 00:00:00,"Alberto Fernández: ""Nos dejan tierra arrasada"""
1881,página 12,2019-09-29 00:00:00,"Muerte en Vaca Muerta: ""Él no tendría que haber estado haciendo esa maniobra"" | El caso de Mauricio Segura"
2010,infobae,2019-09-29 00:00:00,"Diez días antes de las elecciones, Mauricio Macri asistirá al Coloquio de IDEA y Alberto Fernández aún no confirmó su presencia"
2043,infobae,2019-09-29 00:00:00,El cambio en nosotros
2044,infobae,2019-09-29 00:00:00,El fracaso de Macri me obliga a votar al kirchnerismo
2046,infobae,2019-09-29 00:00:00,¿Está terminado Mauricio Macri?
2049,infobae,2019-09-29 00:00:00,Mendoza elige entre la continuidad del radicalismo o volver al peronismo
2050,infobae,2019-09-29 00:00:00,Alberto Fernández arma su gabinete: con quiénes habla y en quiénes piensa para ocupar puestos clave
2051,infobae,2019-09-29 00:00:00,Alberto Fernández mostró su cara más amigable a los mercados: ¿canje de deuda sin quita o “pagadiós”?
2056,infobae,2019-09-29 00:00:00,"Las negociaciones secretas de Sergio Massa: asado con CFK, reuniones con empresarios, sindicalistas, hombres de Macri y un viaje relámpago a EE.UU"
2057,infobae,2019-09-29 00:00:00,"Mauricio Macri en campaña: internas palaciegas, anuncios económicos y diálogo secreto con Alberto Fernández"
2060,infobae,2019-09-29 00:00:00,Radiografía de un Gobierno en minoría: cuántas leyes se aprobaron durante la gestión de Mauricio Macri
2061,infobae,2019-09-29 00:00:00,Cambiemos obtuvo una contundente victoria sobre el kirchnerismo en Mendoza y retuvo la gobernación
2078,infobae,2019-09-29 00:00:00,Cómo será el documental de National Geographic dedicado a Luis Alberto Spinetta
2109,cronista,2019-09-29 00:00:00,De los rumores del gabinete de Alberto al hermetismo del de Kicillof
2115,cronista,2019-09-29 00:00:00,"Mensaje de Massa al votante de Lavagna: ""Es un voto perdido"""
2116,cronista,2019-09-29 00:00:00,"Nuevo spot de Macri: ""Te escuché y tenés razón"""
2117,cronista,2019-09-29 00:00:00,"Por cuestiones de salud, Lanata suspendió la nota con Macri y levantó su programa"
2120,cronista,2019-09-29 00:00:00,La negación del cambio climático puede traerle problemas a Trump
2152,la nación,2019-09-29 00:00:00,Macri se aferra a la ilusión de la remontada épica
2158,la nación,2019-09-29 00:00:00,"Clase media, empleo y pymes, los ejes del plan de gobierno de Macri"
2163,la nación,2019-09-29 00:00:00,"Radial y autosuficiente, cómo es el estilo de conducción de Alberto"
2170,la nación,2019-09-29 00:00:00,La FIT trae una semana de descuentos para comprar viajes
2185,perfil,2019-09-29 00:00:00,Campaña #SíSePuede: La intimidad de la última apuesta electoral de Mauricio Macri
2197,ambito financiero,2019-09-29 00:00:00,"Cuáles serán los próximos destinos de Macri en las marchas del ""Sí se puede"""
2199,ambito financiero,2019-09-29 00:00:00,Lavagna no descartó convocar a dirigentes de La Cámpora en caso de ser electo
2219,ambito financiero,2019-09-29 00:00:00,UCR retuvo Mendoza con un contundente triunfo sobre PJ
2220,ambito financiero,2019-09-29 00:00:00,"Cornejo, el estratega que apartó a Macri"
2222,ambito financiero,2019-09-29 00:00:00,Comitiva de Larreta se sumó al festejo de Cambiemos
2226,el popular,2019-09-29 00:00:00,"Con vientos de cambio, Diego Maradona se junto con Dalma y Gianinna"
2233,la izquierda diario,2019-09-29 00:00:00,Argentina: los retos del Frente de Izquierda y de los Trabajadores (FIT-U)
2239,la izquierda diario,2019-09-29 00:00:00,Extractivismo: ficciones del “modelo” de Alberto Fernández
2240,la izquierda diario,2019-09-29 00:00:00,"La frágil estabilización del Régimen, las crisis que vienen y la izquierda"
2253,la nación,2019-09-29 00:01:00,"Catarina, la ""guardiana"": las nuevas canciones de Luis Alberto Spinetta y el emotivo documental"
2276,la nación,2019-09-29 01:16:00,Pablo Echarri respondió si interpretaría a Mauricio Macri en una ficción y si piensa entrar en política
2296,la nación,2019-09-29 14:46:00,"Sergio Massa: ""Hay que explicarle al votante de Lavagna que es un voto perdido"""
2300,la nación,2019-09-29 15:50:00,"Por problemas de salud, Jorge Lanata no pudo entrevistar a Mauricio Macri ni salir al aire"
2301,la nación,2019-09-29 16:04:00,"María Eugenia Vidal acompañará a Mauricio Macri en la segunda marcha del ""Sí se puede"""
2313,la nación,2019-09-29 21:25:00,Elecciones en Mendoza: Mauricio Macri felicitó a Rodolfo Suarez por el triunfo en Mendoza y enviará a Rogelio Frigerio
2315,la nación,2019-09-29 21:55:00,"Elecciones en Mendoza: para Alfredo Cornejo, Alberto Fernández cometió ""tremenda estupidez"" al nacionalizar la campaña"
2348,clarin,2019-09-30 00:00:00,Hinchas de River homenajearon a Mario Alberto Kempes en Nueva York
2350,clarin,2019-09-30 00:00:00,Malas noticias para Racing: el Pulpo González se rompió la rodilla izquierda
2371,clarin,2019-09-30 00:00:00,"La pobreza llega al 35,4% en el primer semestre del año: el índice más alto de toda la era Macri"
2380,clarin,2019-09-30 00:00:00,Los miércoles de Luis Alberto Spinetta: arranca un ciclo de cine en homenaje
2381,clarin,2019-09-30 00:00:00,"Luis Brandoni, sobre el triunfo de Cambiemos en Mendoza: “Tengo más esperanzas que nunca”"
2383,clarin,2019-09-30 00:00:00,"Billie Eilish y Woody Harrelson, contra el cambio climático"
2388,clarin,2019-09-30 00:00:00,"Ya no mires atrás, la canción inédita de Luis Alberto Spinetta"
2419,clarin,2019-09-30 00:00:00,"Alberto Fernández, tras la elección de Mendoza: “Sabíamos que era muy difícil, hay que aceptar el resultado”"
2420,clarin,2019-09-30 00:00:00,"Alberto Fernández se emocionó en un homenaje a Esteban Righi, el procurador que echó Cristina Kirchner"
2421,clarin,2019-09-30 00:00:00,Alfredo Cornejo sobre Mauricio Macri y Cambiemos: “Hay un poquito de desprecio por la acción política”
2422,clarin,2019-09-30 00:00:00,Cómo les fue a los candidatos oficialistas que no llevaron a Mauricio Macri en la boleta
2423,clarin,2019-09-30 00:00:00,La chicana del Gobierno a Alberto Fernández: “Nacionalizó la elección en Mendoza y su candidata fue duramente derrotada”
2425,clarin,2019-09-30 00:00:00,El default de la pobreza: la peor deuda del gobierno de Mauricio Macri
